NAMA MAKANAN,Kategori,BAHAN,RESEP,KALORI (kkal),PROTEIN (g),LEMAK (g),KOLESTEROL (mg),KARBOHIDRAT (g),SERAT (g),GULA (g),NATRIUM (mg),KALIUM (mg)
acar timun nanas,Snack,50gramjeruk nipis; 1 sdm cabai merah atau rawit; sejumput garam; 100gramnanas; 50gramwortel; 1 mentimun (dengan kulit); 1sedangpaprika hijau; 20gramgula pasir; 2 sedang bawang merah,"Potong dadu mentimun, buang tengah-tengahnya, begitu juga dengan nenas dan wortel, | Iris tipis bawang merah dan cabe rawit dan cabe hijau, | Campurkan semua bahan, tambahkan air jeruk nipis, gula dan garam, | Siap di sajikan,",112.59,2.33,0.66,0.0,28.0,4.1,16.74,180.0,320.0
aglio olio,Meal,"1/2kecilchicken breast (skin not eaten); 1 medium carrot; 1 mangkok green string beans; 1 sdt, tumbuk oregano; 1 chicken sausage; 2 sdt minced garlic; 11 ml minyak goreng; 60 g spaghetti; 3 g lada putih bubuk; 1 sdm saos tiram; 2,5 g boncabe; 1,5 g garam","Didihkan air dan rebus spaghetti hingga al dente (±8–10 menit) lalu tiriskan; panaskan minyak dan tumis bawang putih hingga harum; masukkan ayam dan sosis, masak hingga ayam berubah warna; masukkan wortel dan buncis, tumis hingga agak layu; tambahkan saus tiram, lada, oregano, dan boncabe; masukkan spaghetti dan garam, aduk hingga tercampur rata; angkat dan sajikan",291.25,19.2,8.5,42.0,33.46,4.2,2.73,630.0,557.0
Alpukat,Snack,Tidak Tersedia,Tidak Tersedia,160.0,2.0,14.7,0.0,8.5,6.7,0.7,7.0,485.0
ampela goreng,Meal,100gr ampela ayam; bawang putih; sejumput garam; ketumbar; minyak goreng,"Rebus ampela hingga empuk lalu tiriskan dan potong; haluskan bawang putih, ketumbar, dan garam; lumuri ampela dengan bumbu hingga merata; panaskan minyak dan goreng ampela hingga kecokelatan; angkat dan tiriskan",262.0,32.0,11.15,195.0,9.45,1.1,0.04,255.0,155.0
ampyang,Snack,100gram kacang sangrai kering (tanpa garam); 166gramgula merah; 63gramgula pasir,"Masukkan gula merah, gula pasir dan air ke dalam panci, Aduk hingga mengental dan gula larut, | Buang kulit kacang panggang dan masukkan ke dalam wajan, | Matikan api, Aduk hingga adonan ampyang benar-benar mengental dan matang, | Ambil satu sendok makan campuran ampyang, Tuang di atas kertas lalu bentuk menjadi bentuk datar atau bulat, Lakukan hingga adonan habis, | Biarkan dingin dan mengeras lalu simpan di toples kedap udara,",131.45,3.56,7.47,0.0,14.47,1.2,11.76,4.0,128.0
Anggur,Snack,Tidak Tersedia,Tidak Tersedia,69.0,0.7,0.2,0.0,18.1,0.9,15.5,2.0,191.0
Apel,Snack,Tidak Tersedia,Tidak Tersedia,52.0,0.3,0.2,0.0,13.8,2.4,10.4,1.0,107.0
apple juice,Snack,apel segar; air ,Cuci dan potong apel; blender dengan air hingga halus; saring dan sajikan,46.0,0.1,0.1,0.0,11.3,0.2,9.6,4.0,101.0
arem-arem,Snack,100gr beras; 50ml santan; daun pisang secukupnya; 50gr daging ayam cincang; wortel; garam,Masak beras dengan santan hingga setengah matang; ambil secukupnya dan beri isian ayam dan wortel; bungkus dengan daun pisang; kukus selama 30 menit hingga matang,175.0,3.5,4.2,15.0,31.0,0.5,0.5,180.0,85.0
Asam Jawa,Snack,Tidak Tersedia,Tidak Tersedia,239.0,2.8,0.6,0.0,62.5,5.1,38.8,28.0,628.0
ayam brokoli tumis,Meal,80gr dada ayam; 100gr brokoli segar; 1 siung bawang putih; 1 sdm saus tiram; 1 sdm minyak goreng; sejumput lada hitam; sejumput garam,"Potong ayam dadu kecil; panaskan minyak dan goreng ayam hingga setengah matang lalu sisihkan; tumis bawang putih hingga harum; masukkan brokoli dan aduk sebentar; masukkan ayam, tambahkan sedikit air, saus tiram, lada, dan garam; masak hingga bumbu meresap; sajikan",160.0,20.0,8.0,55.0,5.0,2.0,1.5,480.0,420.0
ayam dengan jagung dan kacang,Meal,"8gramcabai merah atau rawit; 69gramdaging dada ayam (ayam pedaging, dipanggang, dimasak); 27grambuncis; 50gramjagung manis kuning; 7grambawang putih",Haluskan bawang putih dan cabai; panaskan wajan dan masukkan ayam dengan sedikit air; masak hingga ayam setengah matang; masukkan jagung dan buncis; masak mendidih ±5 menit hingga matang; sajikan,124.25,15.47,2.8,36.65,11.35,2.86,1.79,39.75,345.96
ayam geprek,Meal,dada ayam goreng tepung; cabai; bawang putih; minyak,Goreng ayam hingga matang dan renyah; ulek cabai dan bawang putih hingga halus; panaskan sedikit minyak lalu siramkan ke sambal; letakkan ayam di atas sambal dan geprek; sajikan,329.11,26.56,16.74,150.0,18.1,3.4,0.64,313.0,300.0
ayam geprek low calori,Meal,137gramdada ayam; 1 sedang telur; 1 1/2 sdm cabai merah atau rawit; 1 sdm minyak sayur canola; 4 siung bawang putih; 40 g rolled oats,Iris tipis dada ayam; baluri ayam dengan telur kocok; blender rolled oats hingga menjadi tepung; balurkan ayam dengan tepung oats; goreng ayam menggunakan 1 sdm minyak canola hingga matang; ulek cabai dan bawang putih lalu sajikan dengan ayam,329.12,26.56,16.74,150.0,18.1,3.4,0.64,313.0,300.0
ayam geprek oat,Meal,dada ayam; oat; cabai; bawang putih; minyak,Baluri ayam dengan oat hingga merata; goreng ayam hingga matang; ulek cabai dan bawang putih; geprek ayam di atas sambal; sajikan,260.52,21.93,14.55,57.0,10.76,1.4,0.26,350.0,323.0
ayam goreng,Meal,ayam; bawang putih; ketumbar; garam; minyak,Haluskan bawang putih dan ketumbar; lumuri ayam dengan bumbu dan garam; diamkan beberapa menit; goreng ayam hingga matang dan kecokelatan; tiriskan,275.1,27.0,12.2,85.0,1.3,0.0,0.0,177.0,322.0
ayam goreng bumbu kuning,Meal,ayam; bawang putih; kunyit; ketumbar; kemiri; lengkuas; garam; minyak goreng,"Haluskan bawang putih, kunyit, ketumbar, kemiri, dan lengkuas; lumuri ayam dengan bumbu halus dan garam; diamkan 30 menit; goreng ayam hingga matang dan kecokelatan; tiriskan",280.0,27.0,17.0,85.0,3.0,0.0,0.0,420.0,280.0
"ayam goreng kalasan, paha",Meal, paha ayam; bawang putih; ketumbar; gula jawa; garam; minyak goreng,"Haluskan bawang putih dan ketumbar; rebus paha ayam bersama bumbu, gula jawa, dan garam hingga empuk dan meresap; panaskan minyak dan goreng ayam hingga kecokelatan; angkat dan tiriskan",223.0,19.0,12.0,75.0,5.0,0.0,2.0,380.0,220.0
ayam goreng mcd - regular (mcd),Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food,192.64,22.12,10.06,72.0,2.1,0.3,0.13,211.0,188.0
